I_P  ,I_E,I_L  ,Q_E ,Q_P,Q_L  ,Labels
48935,9262,110325,52200,-99025,-113275,Spoofed
48936,9263,110326,52201,-99024,-113274,Spoofed
48937,9264,110327,52202,-99023,-113273,Spoofed
48938,9265,110328,52203,-99022,-113272,Spoofed
48939,9266,110329,52204,-99021,-113271,Spoofed
48940,9267,110330,52205,-99020,-113270,Spoofed
48941,9268,110331,52206,-99019,-113269,Spoofed
48942,9269,110332,52207,-99018,-113268,Spoofed
48943,9270,110333,52208,-99017,-113267,Spoofed
48944,9271,110334,52209,-99016,-113266,Spoofed
48945,9272,110335,52210,-99015,-113265,Spoofed
48946,9273,110336,52211,-99014,-113264,Spoofed
48947,9274,110337,52212,-99013,-113263,Spoofed
48948,9275,110338,52213,-99012,-113262,Spoofed
48949,9276,110339,52214,-99011,-113261,Spoofed
48950,9277,110340,52215,-99010,-113260,Spoofed
48951,9278,110341,52216,-99009,-113259,Spoofed
48952,9279,110342,52217,-99008,-113258,Spoofed
48953,9280,110343,52218,-99007,-113257,Spoofed
48954,9281,110344,52219,-99006,-113256,Spoofed
48955,9282,110345,52220,-99005,-113255,Spoofed
48956,9283,110346,52221,-99004,-113254,Spoofed
48957,9284,110347,52222,-99003,-113253,Spoofed
48958,9285,110348,52223,-99002,-113252,Spoofed
48959,9286,110349,52224,-99001,-113251,Spoofed
48960,9287,110350,52225,-99000,-113250,Spoofed
48961,9288,110351,52226,-98999,-113249,Spoofed
48962,9289,110352,52227,-98998,-113248,Spoofed
48963,9290,110353,52228,-98997,-113247,Spoofed
48964,9291,110354,52229,-98996,-113246,Spoofed
48965,9292,110355,52230,-98995,-113245,Spoofed
48966,9293,110356,52231,-98994,-113244,Spoofed
48967,9294,110357,52232,-98993,-113243,Spoofed
48968,9295,110358,52233,-98992,-113242,Spoofed
48969,9296,110359,52234,-98991,-113241,Spoofed
48970,9297,110360,52235,-98990,-113240,Spoofed
48971,9298,110361,52236,-98989,-113239,Spoofed
48972,9299,110362,52237,-98988,-113238,Spoofed
48973,9300,110363,52238,-98987,-113237,Spoofed
48974,9301,110364,52239,-98986,-113236,Spoofed
48975,9302,110365,52240,-98985,-113235,Spoofed
48976,9303,110366,52241,-98984,-113234,Spoofed
48977,9304,110367,52242,-98983,-113233,Spoofed
48978,9305,110368,52243,-98982,-113232,Spoofed
48979,9306,110369,52244,-98981,-113231,Spoofed
48980,9307,110370,52245,-98980,-113230,Spoofed
48981,9308,110371,52246,-98979,-113229,Spoofed
48982,9309,110372,52247,-98978,-113228,Spoofed
48983,9310,110373,52248,-98977,-113227,Spoofed
48984,9311,110374,52249,-98976,-113226,Spoofed
48985,9312,110375,52250,-98975,-113225,Spoofed
48986,9313,110376,52251,-98974,-113224,Spoofed
48987,9314,110377,52252,-98973,-113223,Spoofed
48988,9315,110378,52253,-98972,-113222,Spoofed
48989,9316,110379,52254,-98971,-113221,Spoofed
48990,9317,110380,52255,-98970,-113220,Spoofed
48991,9318,110381,52256,-98969,-113219,Spoofed
48992,9319,110382,52257,-98968,-113218,Spoofed
48993,9320,110383,52258,-98967,-113217,Spoofed
48994,9321,110384,52259,-98966,-113216,Spoofed
48995,9322,110385,52260,-98965,-113215,Spoofed
48996,9323,110386,52261,-98964,-113214,Spoofed
48997,9324,110387,52262,-98963,-113213,Spoofed
48998,9325,110388,52263,-98962,-113212,Spoofed
48999,9326,110389,52264,-98961,-113211,Spoofed
49000,9327,110390,52265,-98960,-113210,Spoofed
49001,9328,110391,52266,-98959,-113209,Spoofed
49002,9329,110392,52267,-98958,-113208,Spoofed
49003,9330,110393,52268,-98957,-113207,Spoofed
49004,9331,110394,52269,-98956,-113206,Spoofed
49005,9332,110395,52270,-98955,-113205,Spoofed
49006,9333,110396,52271,-98954,-113204,Spoofed
49007,9334,110397,52272,-98953,-113203,Spoofed
49008,9335,110398,52273,-98952,-113202,Spoofed
49009,9336,110399,52274,-98951,-113201,Spoofed
49010,9337,110400,52275,-98950,-113200,Spoofed
49011,9338,110401,52276,-98949,-113199,Spoofed
49012,9339,110402,52277,-98948,-113198,Spoofed
49013,9340,110403,52278,-98947,-113197,Spoofed
49014,9341,110404,52279,-98946,-113196,Spoofed
49015,9342,110405,52280,-98945,-113195,Spoofed
49016,9343,110406,52281,-98944,-113194,Spoofed
49017,9344,110407,52282,-98943,-113193,Spoofed
49018,9345,110408,52283,-98942,-113192,Spoofed
49019,9346,110409,52284,-98941,-113191,Spoofed
49020,9347,110410,52285,-98940,-113190,Spoofed
49021,9348,110411,52286,-98939,-113189,Spoofed
49022,9349,110412,52287,-98938,-113188,Spoofed
49023,9350,110413,52288,-98937,-113187,Spoofed
49024,9351,110414,52289,-98936,-113186,Spoofed
49025,9352,110415,52290,-98935,-113185,Spoofed
49026,9353,110416,52291,-98934,-113184,Spoofed
49027,9354,110417,52292,-98933,-113183,Spoofed
49028,9355,110418,52293,-98932,-113182,Spoofed
49029,9356,110419,52294,-98931,-113181,Spoofed
49030,9357,110420,52295,-98930,-113180,Spoofed
49031,9358,110421,52296,-98929,-113179,Spoofed
49032,9359,110422,52297,-98928,-113178,Spoofed
49033,9360,110423,52298,-98927,-113177,Spoofed
49034,9361,110424,52299,-98926,-113176,Spoofed
49035,9362,110425,52300,-98925,-113175,Spoofed
49036,9363,110426,52301,-98924,-113174,Spoofed
49037,9364,110427,52302,-98923,-113173,Spoofed
49038,9365,110428,52303,-98922,-113172,Spoofed
49039,9366,110429,52304,-98921,-113171,Spoofed
49040,9367,110430,52305,-98920,-113170,Spoofed
49041,9368,110431,52306,-98919,-113169,Spoofed
49042,9369,110432,52307,-98918,-113168,Spoofed
49043,9370,110433,52308,-98917,-113167,Spoofed
49044,9371,110434,52309,-98916,-113166,Spoofed
49045,9372,110435,52310,-98915,-113165,Spoofed
49046,9373,110436,52311,-98914,-113164,Spoofed
49047,9374,110437,52312,-98913,-113163,Spoofed
49048,9375,110438,52313,-98912,-113162,Spoofed
49049,9376,110439,52314,-98911,-113161,Spoofed
49050,9377,110440,52315,-98910,-113160,Spoofed
49051,9378,110441,52316,-98909,-113159,Spoofed
49052,9379,110442,52317,-98908,-113158,Spoofed
49053,9380,110443,52318,-98907,-113157,Spoofed
49054,9381,110444,52319,-98906,-113156,Spoofed
49055,9382,110445,52320,-98905,-113155,Spoofed
49056,9383,110446,52321,-98904,-113154,Spoofed
49057,9384,110447,52322,-98903,-113153,Spoofed
49058,9385,110448,52323,-98902,-113152,Spoofed
49059,9386,110449,52324,-98901,-113151,Spoofed
49060,9387,110450,52325,-98900,-113150,Spoofed
49061,9388,110451,52326,-98899,-113149,Spoofed
49062,9389,110452,52327,-98898,-113148,Spoofed
49063,9390,110453,52328,-98897,-113147,Spoofed
49064,9391,110454,52329,-98896,-113146,Spoofed
49065,9392,110455,52330,-98895,-113145,Spoofed
49066,9393,110456,52331,-98894,-113144,Spoofed
49067,9394,110457,52332,-98893,-113143,Spoofed
49068,9395,110458,52333,-98892,-113142,Spoofed
49069,9396,110459,52334,-98891,-113141,Spoofed
49070,9397,110460,52335,-98890,-113140,Spoofed
49071,9398,110461,52336,-98889,-113139,Spoofed
49072,9399,110462,52337,-98888,-113138,Spoofed
49073,9400,110463,52338,-98887,-113137,Spoofed
49074,9401,110464,52339,-98886,-113136,Spoofed
49075,9402,110465,52340,-98885,-113135,Spoofed
49076,9403,110466,52341,-98884,-113134,Spoofed
49077,9404,110467,52342,-98883,-113133,Spoofed
49078,9405,110468,52343,-98882,-113132,Spoofed
49079,9406,110469,52344,-98881,-113131,Spoofed
49080,9407,110470,52345,-98880,-113130,Spoofed
49081,9408,110471,52346,-98879,-113129,Spoofed
49082,9409,110472,52347,-98878,-113128,Spoofed
49083,9410,110473,52348,-98877,-113127,Spoofed
49084,9411,110474,52349,-98876,-113126,Spoofed
49085,9412,110475,52350,-98875,-113125,Spoofed
49086,9413,110476,52351,-98874,-113124,Spoofed
49087,9414,110477,52352,-98873,-113123,Spoofed
49088,9415,110478,52353,-98872,-113122,Spoofed
49089,9416,110479,52354,-98871,-113121,Spoofed
49090,9417,110480,52355,-98870,-113120,Spoofed
49091,9418,110481,52356,-98869,-113119,Spoofed
49092,9419,110482,52357,-98868,-113118,Spoofed
49093,9420,110483,52358,-98867,-113117,Spoofed
49094,9421,110484,52359,-98866,-113116,Spoofed
49095,9422,110485,52360,-98865,-113115,Spoofed
49096,9423,110486,52361,-98864,-113114,Spoofed
49097,9424,110487,52362,-98863,-113113,Spoofed
49098,9425,110488,52363,-98862,-113112,Spoofed
49099,9426,110489,52364,-98861,-113111,Spoofed
49100,9427,110490,52365,-98860,-113110,Spoofed
49101,9428,110491,52366,-98859,-113109,Spoofed
49102,9429,110492,52367,-98858,-113108,Spoofed
49103,9430,110493,52368,-98857,-113107,Spoofed
49104,9431,110494,52369,-98856,-113106,Spoofed
49105,9432,110495,52370,-98855,-113105,Spoofed
49106,9433,110496,52371,-98854,-113104,Spoofed
49107,9434,110497,52372,-98853,-113103,Spoofed
49108,9435,110498,52373,-98852,-113102,Spoofed
49109,9436,110499,52374,-98851,-113101,Spoofed
49110,9437,110500,52375,-98850,-113100,Spoofed
49111,9438,110501,52376,-98849,-113099,Spoofed
49112,9439,110502,52377,-98848,-113098,Spoofed
49113,9440,110503,52378,-98847,-113097,Spoofed
49114,9441,110504,52379,-98846,-113096,Spoofed
49115,9442,110505,52380,-98845,-113095,Spoofed
49116,9443,110506,52381,-98844,-113094,Spoofed
49117,9444,110507,52382,-98843,-113093,Spoofed
49118,9445,110508,52383,-98842,-113092,Spoofed
49119,9446,110509,52384,-98841,-113091,Spoofed
49120,9447,110510,52385,-98840,-113090,Spoofed
49121,9448,110511,52386,-98839,-113089,Spoofed
49122,9449,110512,52387,-98838,-113088,Spoofed
49123,9450,110513,52388,-98837,-113087,Spoofed
49124,9451,110514,52389,-98836,-113086,Spoofed
49125,9452,110515,52390,-98835,-113085,Spoofed
49126,9453,110516,52391,-98834,-113084,Spoofed
49127,9454,110517,52392,-98833,-113083,Spoofed
49128,9455,110518,52393,-98832,-113082,Spoofed
49129,9456,110519,52394,-98831,-113081,Spoofed
49130,9457,110520,52395,-98830,-113080,Spoofed
49131,9458,110521,52396,-98829,-113079,Spoofed
49132,9459,110522,52397,-98828,-113078,Spoofed
49133,9460,110523,52398,-98827,-113077,Spoofed
49134,9461,110524,52399,-98826,-113076,Spoofed
49135,9462,110525,52400,-98825,-113075,Spoofed
49136,9463,110526,52401,-98824,-113074,Spoofed
49137,9464,110527,52402,-98823,-113073,Spoofed
49138,9465,110528,52403,-98822,-113072,Spoofed
49139,9466,110529,52404,-98821,-113071,Spoofed
49140,9467,110530,52405,-98820,-113070,Spoofed
49141,9468,110531,52406,-98819,-113069,Spoofed
49142,9469,110532,52407,-98818,-113068,Spoofed
49143,9470,110533,52408,-98817,-113067,Spoofed
49144,9471,110534,52409,-98816,-113066,Spoofed
49145,9472,110535,52410,-98815,-113065,Spoofed
49146,9473,110536,52411,-98814,-113064,Spoofed
49147,9474,110537,52412,-98813,-113063,Spoofed
49148,9475,110538,52413,-98812,-113062,Spoofed
49149,9476,110539,52414,-98811,-113061,Spoofed
49150,9477,110540,52415,-98810,-113060,Spoofed
49151,9478,110541,52416,-98809,-113059,Spoofed
49152,9479,110542,52417,-98808,-113058,Spoofed
49153,9480,110543,52418,-98807,-113057,Spoofed
49154,9481,110544,52419,-98806,-113056,Spoofed
49155,9482,110545,52420,-98805,-113055,Spoofed
49156,9483,110546,52421,-98804,-113054,Spoofed
49157,9484,110547,52422,-98803,-113053,Spoofed
49158,9485,110548,52423,-98802,-113052,Spoofed
49159,9486,110549,52424,-98801,-113051,Spoofed
49160,9487,110550,52425,-98800,-113050,Spoofed
49161,9488,110551,52426,-98799,-113049,Spoofed
49162,9489,110552,52427,-98798,-113048,Spoofed
49163,9490,110553,52428,-98797,-113047,Spoofed
49164,9491,110554,52429,-98796,-113046,Spoofed
49165,9492,110555,52430,-98795,-113045,Spoofed
49166,9493,110556,52431,-98794,-113044,Spoofed
49167,9494,110557,52432,-98793,-113043,Spoofed
49168,9495,110558,52433,-98792,-113042,Spoofed
49169,9496,110559,52434,-98791,-113041,Spoofed
49170,9497,110560,52435,-98790,-113040,Spoofed
49171,9498,110561,52436,-98789,-113039,Spoofed
49172,9499,110562,52437,-98788,-113038,Spoofed
49173,9500,110563,52438,-98787,-113037,Spoofed
49174,9501,110564,52439,-98786,-113036,Spoofed
49175,9502,110565,52440,-98785,-113035,Spoofed
49176,9503,110566,52441,-98784,-113034,Spoofed
49177,9504,110567,52442,-98783,-113033,Spoofed
49178,9505,110568,52443,-98782,-113032,Spoofed
49179,9506,110569,52444,-98781,-113031,Spoofed
49180,9507,110570,52445,-98780,-113030,Spoofed
49181,9508,110571,52446,-98779,-113029,Spoofed
49182,9509,110572,52447,-98778,-113028,Spoofed
49183,9510,110573,52448,-98777,-113027,Spoofed
49184,9511,110574,52449,-98776,-113026,Spoofed
49185,9512,110575,52450,-98775,-113025,Spoofed
49186,9513,110576,52451,-98774,-113024,Spoofed
49187,9514,110577,52452,-98773,-113023,Spoofed
49188,9515,110578,52453,-98772,-113022,Spoofed
49189,9516,110579,52454,-98771,-113021,Spoofed
49190,9517,110580,52455,-98770,-113020,Spoofed
49191,9518,110581,52456,-98769,-113019,Spoofed
49192,9519,110582,52457,-98768,-113018,Spoofed
49193,9520,110583,52458,-98767,-113017,Spoofed
49194,9521,110584,52459,-98766,-113016,Spoofed
49195,9522,110585,52460,-98765,-113015,Spoofed
49196,9523,110586,52461,-98764,-113014,Spoofed
49197,9524,110587,52462,-98763,-113013,Spoofed
49198,9525,110588,52463,-98762,-113012,Spoofed
49199,9526,110589,52464,-98761,-113011,Spoofed
49200,9527,110590,52465,-98760,-113010,Spoofed
49201,9528,110591,52466,-98759,-113009,Spoofed
49202,9529,110592,52467,-98758,-113008,Spoofed
49203,9530,110593,52468,-98757,-113007,Spoofed
49204,9531,110594,52469,-98756,-113006,Spoofed
49205,9532,110595,52470,-98755,-113005,Spoofed
49206,9533,110596,52471,-98754,-113004,Spoofed
49207,9534,110597,52472,-98753,-113003,Spoofed
49208,9535,110598,52473,-98752,-113002,Spoofed
49209,9536,110599,52474,-98751,-113001,Spoofed
49210,9537,110600,52475,-98750,-113000,Spoofed
49211,9538,110601,52476,-98749,-112999,Spoofed
49212,9539,110602,52477,-98748,-112998,Spoofed
49213,9540,110603,52478,-98747,-112997,Spoofed
49214,9541,110604,52479,-98746,-112996,Spoofed
49215,9542,110605,52480,-98745,-112995,Spoofed
49216,9543,110606,52481,-98744,-112994,Spoofed
49217,9544,110607,52482,-98743,-112993,Spoofed
49218,9545,110608,52483,-98742,-112992,Spoofed
49219,9546,110609,52484,-98741,-112991,Spoofed
49220,9547,110610,52485,-98740,-112990,Spoofed
49221,9548,110611,52486,-98739,-112989,Spoofed
49222,9549,110612,52487,-98738,-112988,Spoofed
49223,9550,110613,52488,-98737,-112987,Spoofed
49224,9551,110614,52489,-98736,-112986,Spoofed
49225,9552,110615,52490,-98735,-112985,Spoofed
49226,9553,110616,52491,-98734,-112984,Spoofed
49227,9554,110617,52492,-98733,-112983,Spoofed
49228,9555,110618,52493,-98732,-112982,Spoofed
49229,9556,110619,52494,-98731,-112981,Spoofed
49230,9557,110620,52495,-98730,-112980,Spoofed
49231,9558,110621,52496,-98729,-112979,Spoofed
49232,9559,110622,52497,-98728,-112978,Spoofed
49233,9560,110623,52498,-98727,-112977,Spoofed
49234,9561,110624,52499,-98726,-112976,Spoofed
49235,9562,110625,52500,-98725,-112975,Spoofed
49236,9563,110626,52501,-98724,-112974,Spoofed
49237,9564,110627,52502,-98723,-112973,Spoofed
49238,9565,110628,52503,-98722,-112972,Spoofed
49239,9566,110629,52504,-98721,-112971,Spoofed
49240,9567,110630,52505,-98720,-112970,Spoofed
49241,9568,110631,52506,-98719,-112969,Spoofed
49242,9569,110632,52507,-98718,-112968,Spoofed
49243,9570,110633,52508,-98717,-112967,Spoofed
49244,9571,110634,52509,-98716,-112966,Spoofed
49245,9572,110635,52510,-98715,-112965,Spoofed
49246,9573,110636,52511,-98714,-112964,Spoofed
49247,9574,110637,52512,-98713,-112963,Spoofed
49248,9575,110638,52513,-98712,-112962,Spoofed
49249,9576,110639,52514,-98711,-112961,Spoofed
49250,9577,110640,52515,-98710,-112960,Spoofed
49251,9578,110641,52516,-98709,-112959,Spoofed
49252,9579,110642,52517,-98708,-112958,Spoofed
49253,9580,110643,52518,-98707,-112957,Spoofed
49254,9581,110644,52519,-98706,-112956,Spoofed
49255,9582,110645,52520,-98705,-112955,Spoofed
49256,9583,110646,52521,-98704,-112954,Spoofed
49257,9584,110647,52522,-98703,-112953,Spoofed
49258,9585,110648,52523,-98702,-112952,Spoofed
49259,9586,110649,52524,-98701,-112951,Spoofed
49260,9587,110650,52525,-98700,-112950,Spoofed
49261,9588,110651,52526,-98699,-112949,Spoofed
49262,9589,110652,52527,-98698,-112948,Spoofed
49263,9590,110653,52528,-98697,-112947,Spoofed
49264,9591,110654,52529,-98696,-112946,Spoofed
49265,9592,110655,52530,-98695,-112945,Spoofed
49266,9593,110656,52531,-98694,-112944,Spoofed
49267,9594,110657,52532,-98693,-112943,Spoofed
49268,9595,110658,52533,-98692,-112942,Spoofed
49269,9596,110659,52534,-98691,-112941,Spoofed
49270,9597,110660,52535,-98690,-112940,Spoofed
49271,9598,110661,52536,-98689,-112939,Spoofed
49272,9599,110662,52537,-98688,-112938,Spoofed
49273,9600,110663,52538,-98687,-112937,Spoofed
49274,9601,110664,52539,-98686,-112936,Spoofed
49275,9602,110665,52540,-98685,-112935,Spoofed
49276,9603,110666,52541,-98684,-112934,Spoofed
49277,9604,110667,52542,-98683,-112933,Spoofed
49278,9605,110668,52543,-98682,-112932,Spoofed
49279,9606,110669,52544,-98681,-112931,Spoofed
49280,9607,110670,52545,-98680,-112930,Spoofed
49281,9608,110671,52546,-98679,-112929,Spoofed
49282,9609,110672,52547,-98678,-112928,Spoofed
49283,9610,110673,52548,-98677,-112927,Spoofed
49284,9611,110674,52549,-98676,-112926,Spoofed
49285,9612,110675,52550,-98675,-112925,Spoofed
49286,9613,110676,52551,-98674,-112924,Spoofed
49287,9614,110677,52552,-98673,-112923,Spoofed
49288,9615,110678,52553,-98672,-112922,Spoofed
49289,9616,110679,52554,-98671,-112921,Spoofed
49290,9617,110680,52555,-98670,-112920,Spoofed
49291,9618,110681,52556,-98669,-112919,Spoofed
49292,9619,110682,52557,-98668,-112918,Spoofed
49293,9620,110683,52558,-98667,-112917,Spoofed
49294,9621,110684,52559,-98666,-112916,Spoofed
49295,9622,110685,52560,-98665,-112915,Spoofed
49296,9623,110686,52561,-98664,-112914,Spoofed
49297,9624,110687,52562,-98663,-112913,Spoofed
49298,9625,110688,52563,-98662,-112912,Spoofed
49299,9626,110689,52564,-98661,-112911,Spoofed
49300,9627,110690,52565,-98660,-112910,Spoofed
49301,9628,110691,52566,-98659,-112909,Spoofed
49302,9629,110692,52567,-98658,-112908,Spoofed
49303,9630,110693,52568,-98657,-112907,Spoofed
49304,9631,110694,52569,-98656,-112906,Spoofed
49305,9632,110695,52570,-98655,-112905,Spoofed
49306,9633,110696,52571,-98654,-112904,Spoofed
49307,9634,110697,52572,-98653,-112903,Spoofed
49308,9635,110698,52573,-98652,-112902,Spoofed
49309,9636,110699,52574,-98651,-112901,Spoofed
49310,9637,110700,52575,-98650,-112900,Spoofed
49311,9638,110701,52576,-98649,-112899,Spoofed
49312,9639,110702,52577,-98648,-112898,Spoofed
49313,9640,110703,52578,-98647,-112897,Spoofed
49314,9641,110704,52579,-98646,-112896,Spoofed
49315,9642,110705,52580,-98645,-112895,Spoofed
49316,9643,110706,52581,-98644,-112894,Spoofed
49317,9644,110707,52582,-98643,-112893,Spoofed
49318,9645,110708,52583,-98642,-112892,Spoofed
49319,9646,110709,52584,-98641,-112891,Spoofed
49320,9647,110710,52585,-98640,-112890,Spoofed
49321,9648,110711,52586,-98639,-112889,Spoofed
49322,9649,110712,52587,-98638,-112888,Spoofed
49323,9650,110713,52588,-98637,-112887,Spoofed
49324,9651,110714,52589,-98636,-112886,Spoofed
49325,9652,110715,52590,-98635,-112885,Spoofed
49326,9653,110716,52591,-98634,-112884,Spoofed
49327,9654,110717,52592,-98633,-112883,Spoofed
49328,9655,110718,52593,-98632,-112882,Spoofed
49329,9656,110719,52594,-98631,-112881,Spoofed
49330,9657,110720,52595,-98630,-112880,Spoofed
49331,9658,110721,52596,-98629,-112879,Spoofed
49332,9659,110722,52597,-98628,-112878,Spoofed
49333,9660,110723,52598,-98627,-112877,Spoofed
49334,9661,110724,52599,-98626,-112876,Spoofed
49335,9662,110725,52600,-98625,-112875,Spoofed
49336,9663,110726,52601,-98624,-112874,Spoofed
49337,9664,110727,52602,-98623,-112873,Spoofed
49338,9665,110728,52603,-98622,-112872,Spoofed
49339,9666,110729,52604,-98621,-112871,Spoofed
49340,9667,110730,52605,-98620,-112870,Spoofed
49341,9668,110731,52606,-98619,-112869,Spoofed
49342,9669,110732,52607,-98618,-112868,Spoofed
49343,9670,110733,52608,-98617,-112867,Spoofed
49344,9671,110734,52609,-98616,-112866,Spoofed
49345,9672,110735,52610,-98615,-112865,Spoofed
49346,9673,110736,52611,-98614,-112864,Spoofed
49347,9674,110737,52612,-98613,-112863,Spoofed
49348,9675,110738,52613,-98612,-112862,Spoofed
49349,9676,110739,52614,-98611,-112861,Spoofed
49350,9677,110740,52615,-98610,-112860,Spoofed
49351,9678,110741,52616,-98609,-112859,Spoofed
49352,9679,110742,52617,-98608,-112858,Spoofed
49353,9680,110743,52618,-98607,-112857,Spoofed
49354,9681,110744,52619,-98606,-112856,Spoofed
49355,9682,110745,52620,-98605,-112855,Spoofed
49356,9683,110746,52621,-98604,-112854,Spoofed
49357,9684,110747,52622,-98603,-112853,Spoofed
49358,9685,110748,52623,-98602,-112852,Spoofed
49359,9686,110749,52624,-98601,-112851,Spoofed
49360,9687,110750,52625,-98600,-112850,Spoofed
49361,9688,110751,52626,-98599,-112849,Spoofed
49362,9689,110752,52627,-98598,-112848,Spoofed
49363,9690,110753,52628,-98597,-112847,Spoofed
49364,9691,110754,52629,-98596,-112846,Spoofed
49365,9692,110755,52630,-98595,-112845,Spoofed
49366,9693,110756,52631,-98594,-112844,Spoofed
49367,9694,110757,52632,-98593,-112843,Spoofed
49368,9695,110758,52633,-98592,-112842,Spoofed
49369,9696,110759,52634,-98591,-112841,Spoofed
49370,9697,110760,52635,-98590,-112840,Spoofed
49371,9698,110761,52636,-98589,-112839,Spoofed
49372,9699,110762,52637,-98588,-112838,Spoofed
49373,9700,110763,52638,-98587,-112837,Spoofed
49374,9701,110764,52639,-98586,-112836,Spoofed
49375,9702,110765,52640,-98585,-112835,Spoofed
49376,9703,110766,52641,-98584,-112834,Spoofed
49377,9704,110767,52642,-98583,-112833,Spoofed
49378,9705,110768,52643,-98582,-112832,Spoofed
49379,9706,110769,52644,-98581,-112831,Spoofed
49380,9707,110770,52645,-98580,-112830,Spoofed
49381,9708,110771,52646,-98579,-112829,Spoofed
49382,9709,110772,52647,-98578,-112828,Spoofed
49383,9710,110773,52648,-98577,-112827,Spoofed
49384,9711,110774,52649,-98576,-112826,Spoofed
49385,9712,110775,52650,-98575,-112825,Spoofed
49386,9713,110776,52651,-98574,-112824,Spoofed
49387,9714,110777,52652,-98573,-112823,Spoofed
49388,9715,110778,52653,-98572,-112822,Spoofed
49389,9716,110779,52654,-98571,-112821,Spoofed
49390,9717,110780,52655,-98570,-112820,Spoofed
49391,9718,110781,52656,-98569,-112819,Spoofed
49392,9719,110782,52657,-98568,-112818,Spoofed
49393,9720,110783,52658,-98567,-112817,Spoofed
49394,9721,110784,52659,-98566,-112816,Spoofed
49395,9722,110785,52660,-98565,-112815,Spoofed
49396,9723,110786,52661,-98564,-112814,Spoofed
49397,9724,110787,52662,-98563,-112813,Spoofed
49398,9725,110788,52663,-98562,-112812,Spoofed
49399,9726,110789,52664,-98561,-112811,Spoofed
49400,9727,110790,52665,-98560,-112810,Spoofed
49401,9728,110791,52666,-98559,-112809,Spoofed
49402,9729,110792,52667,-98558,-112808,Spoofed
49403,9730,110793,52668,-98557,-112807,Spoofed
49404,9731,110794,52669,-98556,-112806,Spoofed
49405,9732,110795,52670,-98555,-112805,Spoofed
49406,9733,110796,52671,-98554,-112804,Spoofed
49407,9734,110797,52672,-98553,-112803,Spoofed
49408,9735,110798,52673,-98552,-112802,Spoofed
49409,9736,110799,52674,-98551,-112801,Spoofed
49410,9737,110800,52675,-98550,-112800,Spoofed
49411,9738,110801,52676,-98549,-112799,Spoofed
49412,9739,110802,52677,-98548,-112798,Spoofed
49413,9740,110803,52678,-98547,-112797,Spoofed
49414,9741,110804,52679,-98546,-112796,Spoofed
49415,9742,110805,52680,-98545,-112795,Spoofed
49416,9743,110806,52681,-98544,-112794,Spoofed
49417,9744,110807,52682,-98543,-112793,Spoofed
49418,9745,110808,52683,-98542,-112792,Spoofed
49419,9746,110809,52684,-98541,-112791,Spoofed
49420,9747,110810,52685,-98540,-112790,Spoofed
49421,9748,110811,52686,-98539,-112789,Spoofed
49422,9749,110812,52687,-98538,-112788,Spoofed
49423,9750,110813,52688,-98537,-112787,Spoofed
49424,9751,110814,52689,-98536,-112786,Spoofed
49425,9752,110815,52690,-98535,-112785,Spoofed
49426,9753,110816,52691,-98534,-112784,Spoofed
49427,9754,110817,52692,-98533,-112783,Spoofed
49428,9755,110818,52693,-98532,-112782,Spoofed
49429,9756,110819,52694,-98531,-112781,Spoofed
49430,9757,110820,52695,-98530,-112780,Spoofed
49431,9758,110821,52696,-98529,-112779,Spoofed
49432,9759,110822,52697,-98528,-112778,Spoofed
49433,9760,110823,52698,-98527,-112777,Spoofed
49434,9761,110824,52699,-98526,-112776,Spoofed
49435,9762,110825,52700,-98525,-112775,Spoofed
49436,9763,110826,52701,-98524,-112774,Spoofed
49437,9764,110827,52702,-98523,-112773,Spoofed
49438,9765,110828,52703,-98522,-112772,Spoofed
49439,9766,110829,52704,-98521,-112771,Spoofed
49440,9767,110830,52705,-98520,-112770,Spoofed
49441,9768,110831,52706,-98519,-112769,Spoofed
49442,9769,110832,52707,-98518,-112768,Spoofed
49443,9770,110833,52708,-98517,-112767,Spoofed
49444,9771,110834,52709,-98516,-112766,Spoofed
49445,9772,110835,52710,-98515,-112765,Spoofed
49446,9773,110836,52711,-98514,-112764,Spoofed
49447,9774,110837,52712,-98513,-112763,Spoofed
49448,9775,110838,52713,-98512,-112762,Spoofed
49449,9776,110839,52714,-98511,-112761,Spoofed
49450,9777,110840,52715,-98510,-112760,Spoofed
49451,9778,110841,52716,-98509,-112759,Spoofed
49452,9779,110842,52717,-98508,-112758,Spoofed
49453,9780,110843,52718,-98507,-112757,Spoofed
49454,9781,110844,52719,-98506,-112756,Spoofed
49455,9782,110845,52720,-98505,-112755,Spoofed
49456,9783,110846,52721,-98504,-112754,Spoofed
49457,9784,110847,52722,-98503,-112753,Spoofed
49458,9785,110848,52723,-98502,-112752,Spoofed
49459,9786,110849,52724,-98501,-112751,Spoofed
49460,9787,110850,52725,-98500,-112750,Spoofed
49461,9788,110851,52726,-98499,-112749,Spoofed
49462,9789,110852,52727,-98498,-112748,Spoofed
49463,9790,110853,52728,-98497,-112747,Spoofed
49464,9791,110854,52729,-98496,-112746,Spoofed
49465,9792,110855,52730,-98495,-112745,Spoofed
49466,9793,110856,52731,-98494,-112744,Spoofed
49467,9794,110857,52732,-98493,-112743,Spoofed
49468,9795,110858,52733,-98492,-112742,Spoofed
49469,9796,110859,52734,-98491,-112741,Spoofed
49470,9797,110860,52735,-98490,-112740,Spoofed
49471,9798,110861,52736,-98489,-112739,Spoofed
